Metadata: {"arch":"arm64","console_log":"console.log","dist_size":272427,"engine":"eval5","repository":"https://github.com/bplok20010/eval5.git","revision":"64f9f7ffc97b6eb0ada78078b13897d1d52aea12","revision_date":"2024-10-25"}
es3/literals.string.esc-v.js: OK
es3/nested-functions.eval.js: OK
es3/nested-functions.js: OK
es3/regex.backref.js: OK
es3/regex.begin.js: OK
es3/regex.bracket.esc-b.js: OK
es3/regex.bracket.js: OK
es3/regex.bracket.ranges.js: OK
es3/regex.class.esc-d.js: OK
es3/regex.class.esc-s.js: OK
es3/regex.class.esc-w.js: OK
es3/regex.disjunction.js: OK
es3/regex.dot.js: OK
es3/regex.end.js: OK
es3/regex.escape.control.js: OK
es3/regex.escape.hex.js: OK
es3/regex.escape.js: OK
es3/regex.escape.nul.js: OK
es3/regex.escape.unicode.js: OK
es3/regex.flag.global.js: OK
es3/regex.flag.ignorecase.js: OK
es3/regex.flag.multiline.js: OK
es3/regex.group.js: OK
es3/regex.lookahead.js: OK
es3/regex.negative-lookahead.js: OK
es3/regex.non-capturing-group.js: OK
es3/regex.quantifier.exact.js: OK
es3/regex.quantifier.maybe.js: OK
es3/regex.quantifier.min.js: OK
es3/regex.quantifier.plus.js: OK
es3/regex.quantifier.range.js: OK
es3/regex.quantifier.star.js: OK
es3/regex.word-boundary.js: OK
es3/source.line-terminators.js: OK
es3/source.whitespace.js: OK
es3/source.whitespace.unicode.js: OK
es3/strict-equals.js: OK
es3/switch.js: OK
es3/try-catch-finally.js: OK
es3/try-catch-throw.js: OK
es5/Array.isArray.js: OK
es5/Array.prototype.every.js: OK
es5/Array.prototype.filter.js: OK
es5/Array.prototype.forEach.js: OK
es5/Array.prototype.indexOf.js: OK
es5/Array.prototype.lastIndexOf.js: OK
es5/Array.prototype.map.js: OK
es5/Array.prototype.reduceRight.js: OK
es5/Array.prototype.reduce.js: OK
es5/Array.prototype.some.js: OK
es5/Array.prototype.sort.TypeError.js: OK
es5/Array.prototype.sort.undefined-comparefn.js: OK
es5/Date.now.js: OK
es5/Date.prototype.toISOString.js: OK
es5/Date.prototype.toJSON.js: OK
es5/Function.prototype-not-enumerable.js: OK
es5/Function.prototype.apply.array-like.js: OK
es5/Function.prototype.bind.js: Function.prototype.bind not a function
es5/JSON.js: OK
es5/JSON.parse.js: OK
es5/JSON.parse.reviver.js: OK
es5/JSON.stringify.js: OK
es5/JSON.stringify.replacer.js: OK
es5/JSON.stringify.space.js: OK
es5/Object.create.js: OK
es5/Object.defineProperties.js: TypeError: Cannot assign to read only property 'a' of object '#<Object>'
es5/Object.defineProperty.js: TypeError: Cannot assign to read only property 'y' of object '#<Object>'
es5/Object.freeze.js: TypeError: Cannot assign to read only property 'x' of object '#<Object>'
es5/Object.getOwnPropertyDescriptor.js: OK
es5/Object.getOwnPropertyNames.js: OK
es5/Object.getPrototypeOf.js: OK
es5/Object.isExtensible.js: OK
es5/Object.isFrozen.js: OK
es5/Object.isSealed.js: OK
es5/Object.keys.js: OK
es5/Object.preventExtensions.js: TypeError: Cannot add property y, object is not extensible
es5/Object.property-shadowing.js: OK
es5/Object.seal.js: TypeError: Cannot add property y, object is not extensible
es5/String.indexing.js: OK
es5/String.prototype.trim.js: OK
es5/arguments.toStringTag.js: OK
es5/debugger.js: OK
es5/global.Infinity.immutable.js: Infinity is not a number after assignment; Infinity not positive infinity after assignment
es5/global.NaN.immutable.js: NaN is not a number after assignment; NaN === NaN after assignment
es5/global.parseInt.no-octal.js: OK
es5/global.undefined.immutable.js: undefined is not undefined after assignment
es5/literals.object.getters.js: OK
es5/literals.object.setters.js: OK
es5/literals.object.trailing-comma.js: OK
es5/source.keyword-properties.js: OK
es5/source.unreserved-words.js: OK
es5/source.whitespace.bom.js: OK
es5/source.zero-width-chars.js: OK
es5/strict.eval-cannot-create-bindings.js: failed
es5/strict.function-expr-with-matching-name.js: OK
es5/strict.js: failed
es5/strict.no-arguments-callee.js: OK
es5/strict.no-arguments-caller.js: OK
es5/strict.no-assignment-to-non-writable.js: failed
es5/strict.no-assignment-to-unresolvable.js: failed
es5/strict.no-delete-bindings.js: failed
es5/strict.no-delete-non-configurable.js: OK
es5/strict.no-duplicate-parameters.js: failed
es5/strict.no-eval-or-arguments-assignment.js: failed
es5/strict.no-eval-or-arguments-bindings.js: failed
es5/strict.no-function-caller-or-arguments.js: OK
es5/strict.no-octal-literals.js: failed
es5/strict.no-with.js: failed
es5/strict.reserved-words.js: 'var implements' did not throw in strict mode
es5/strict.this-primitive-not-coerced-in-accessors.js: OK
es5/strict.this-primitive-not-coerced.js: OK
es5/strict.this-undefined-in-function.js: OK
es5/strict.unmapped-arguments.js: OK
es5/this.thrown-function.js: TypeError: Cannot use 'in' operator to search for 'a' in undefined
compat-table/es5/Array.isArray.js: OK
compat-table/es5/Array.prototype.every.js: OK
compat-table/es5/Array.prototype.filter.js: OK
compat-table/es5/Array.prototype.forEach.js: OK
compat-table/es5/Array.prototype.indexOf.js: OK
compat-table/es5/Array.prototype.lastIndexOf.js: OK
compat-table/es5/Array.prototype.map.js: OK
compat-table/es5/Array.prototype.reduceRight.js: OK
compat-table/es5/Array.prototype.reduce.js: OK
compat-table/es5/Array.prototype.some.js: OK
compat-table/es5/Array.prototype.sort.compareFn-type.js: OK
compat-table/es5/Array.prototype.sort.compareFn-undefined.js: OK
compat-table/es5/Array.prototype.unshift.return-count.js: OK
compat-table/es5/Date.now.js: OK
compat-table/es5/Date.prototype.toISOString.js: OK
compat-table/es5/Date.prototype.toJSON.js: OK
compat-table/es5/Function.prototype.bind.js: failed
compat-table/es5/JSON.js: OK
compat-table/es5/Number.prototype.toExponential.no-throw-edge-cases.js: OK
compat-table/es5/Number.prototype.toExponential.rounds-properly.js: OK
compat-table/es5/Number.prototype.toExponential.throws-infinity.js: OK
compat-table/es5/Object.create.js: OK
compat-table/es5/Object.defineProperties.js: OK
compat-table/es5/Object.defineProperty.js: OK
compat-table/es5/Object.freeze.js: OK
compat-table/es5/Object.getOwnPropertyDescriptor.js: OK
compat-table/es5/Object.getOwnPropertyNames.js: OK
compat-table/es5/Object.getPrototypeOf.js: OK
compat-table/es5/Object.isExtensible.js: OK
compat-table/es5/Object.isFrozen.js: OK
compat-table/es5/Object.isSealed.js: OK
compat-table/es5/Object.keys.js: OK
compat-table/es5/Object.preventExtensions.js: OK
compat-table/es5/Object.seal.js: OK
compat-table/es5/String.property-access.js: OK
compat-table/es5/String.prototype.split.js: OK
compat-table/es5/String.prototype.trim.js: OK
compat-table/es5/annex-b.String.prototype.substr.js: OK
compat-table/es5/immutable-globals.Infinity.js: failed
compat-table/es5/immutable-globals.NaN.js: failed
compat-table/es5/immutable-globals.undefined.js: failed
compat-table/es5/literals.getter-accessors.js: OK
compat-table/es5/literals.reserved-words-properties.js: OK
compat-table/es5/literals.setter-accessors.js: OK
compat-table/es5/literals.trailing-comma-array.js: OK
compat-table/es5/literals.trailing-comma-object.js: OK
compat-table/es5/misc.Arguments.toStringTag.js: OK
compat-table/es5/misc.Function.apply.array-likes.js: OK
compat-table/es5/misc.Function.prototype.non-enumerable.js: OK
compat-table/es5/misc.enumerable-shadow.js: OK
compat-table/es5/misc.parseInt.ignores-leading-zeros.js: OK
compat-table/es5/misc.thrown-functions-this.js: TypeError: Cannot use 'in' operator to search for 'a' in undefined
compat-table/es5/misc.unreserved-words.js: OK
compat-table/es5/misc.zero-width-identifiers.js: OK
compat-table/es5/strict.arguments-callee-error.js: OK
compat-table/es5/strict.arguments-caller-error.js: OK
compat-table/es5/strict.arguments-unmapped.js: OK
compat-table/es5/strict.assignment-eval-arguments-error.js: failed
compat-table/es5/strict.assignment-non-writable-error.js: failed
compat-table/es5/strict.assignment-unresolvable-error.js: failed
compat-table/es5/strict.delete-bindings-error.js: failed
compat-table/es5/strict.delete-non-configurable-error.js: OK
compat-table/es5/strict.eval-arguments-bindings-error.js: failed
compat-table/es5/strict.eval-no-bindings.js: failed
compat-table/es5/strict.function-caller-arguments-error.js: OK
compat-table/es5/strict.function-expr-matching-name-arg.js: OK
compat-table/es5/strict.legacy-octal-error.js: failed
compat-table/es5/strict.repeated-params-error.js: failed
compat-table/es5/strict.reserved-words.js: failed
compat-table/es5/strict.this-not-coerced-accessors.js: OK
compat-table/es5/strict.this-not-coerced-methods.js: OK
compat-table/es5/strict.this-undefined.js: OK
compat-table/es5/strict.with-error.js: failed
compat-table/es6/Array.Symbol.species.js: OK
compat-table/es6/Array.from.array-like.js: OK
compat-table/es6/Array.from.generator.js: SyntaxError: Unexpected token (9:26)
compat-table/es6/Array.from.iterable-instance.js: OK
compat-table/es6/Array.from.iterable.js: OK
compat-table/es6/Array.from.iterator-closing.js: OK
compat-table/es6/Array.from.map.array-like.js: OK
compat-table/es6/Array.from.map.generator.js: SyntaxError: Unexpected token (9:26)
compat-table/es6/Array.from.map.iterable-instance.js: OK
compat-table/es6/Array.from.map.iterable.js: OK
compat-table/es6/Array.iterator-prototype-chain.js: OK
compat-table/es6/Array.of.js: OK
compat-table/es6/Array.prototype.Symbol.iterator.js: OK
compat-table/es6/Array.prototype.Symbol.unscopables.js: OK
compat-table/es6/Array.prototype.copyWithin.js: OK
compat-table/es6/Array.prototype.entries.js: OK
compat-table/es6/Array.prototype.fill.js: OK
compat-table/es6/Array.prototype.findIndex.js: OK
compat-table/es6/Array.prototype.find.js: OK
compat-table/es6/Array.prototype.keys.js: OK
compat-table/es6/Array.prototype.splice.js: OK
compat-table/es6/Array.prototype.values.js: OK
compat-table/es6/Date.prototype.Symbol.toPrimitive.js: OK
compat-table/es6/Function.name.accessor.js: failed
compat-table/es6/Function.name.bound.js: OK
compat-table/es6/Function.name.class-expression.js: SyntaxError: The keyword 'class' is reserved (10:9)
compat-table/es6/Function.name.class-object-method.js: SyntaxError: The keyword 'class' is reserved (10:17)
compat-table/es6/Function.name.class-prototype.js: SyntaxError: The keyword 'class' is reserved (10:2)
compat-table/es6/Function.name.class-statement.js: SyntaxError: The keyword 'class' is reserved (10:2)
compat-table/es6/Function.name.class-static.js: SyntaxError: The keyword 'class' is reserved (10:2)
compat-table/es6/Function.name.class-variable.js: SyntaxError: The keyword 'class' is reserved (10:12)
compat-table/es6/Function.name.configurable.js: OK
compat-table/es6/Function.name.expression.js: OK
compat-table/es6/Function.name.new-Function.js: OK
compat-table/es6/Function.name.object-method.js: OK
compat-table/es6/Function.name.shorthand.js: SyntaxError: Unexpected token (10:15)
compat-table/es6/Function.name.shorthand.no-lexical.js: SyntaxError: Unexpected token (11:12)
compat-table/es6/Function.name.statement.js: OK
compat-table/es6/Function.name.symbol-keyed.js: SyntaxError: Unexpected token (13:4)
compat-table/es6/Function.name.variable.js: OK
compat-table/es6/Map.Symbol.species.js: OK
compat-table/es6/Map.constructor-accepts-null.js: OK
compat-table/es6/Map.constructor-arguments.js: OK
compat-table/es6/Map.constructor-invokes-set.js: OK
compat-table/es6/Map.constructor-requires-new.js: OK
compat-table/es6/Map.iterator-closing.js: OK
compat-table/es6/Map.iterator-prototype-chain.js: OK
compat-table/es6/Map.js: OK
compat-table/es6/Map.prototype-not-instance.js: OK
compat-table/es6/Map.prototype.Symbol.iterator.js: OK
compat-table/es6/Map.prototype.clear.js: OK
compat-table/es6/Map.prototype.delete.js: OK
compat-table/es6/Map.prototype.entries.js: OK
compat-table/es6/Map.prototype.forEach.js: OK
compat-table/es6/Map.prototype.keys.js: OK
compat-table/es6/Map.prototype.set-returns-this.js: OK
compat-table/es6/Map.prototype.size.js: OK
compat-table/es6/Map.prototype.values.js: OK
compat-table/es6/Map.zero-key.js: OK
compat-table/es6/Math.acosh.js: OK
compat-table/es6/Math.asinh.js: OK
compat-table/es6/Math.atanh.js: OK
compat-table/es6/Math.cbrt.js: OK
compat-table/es6/Math.clz32.js: OK
compat-table/es6/Math.cosh.js: OK
compat-table/es6/Math.expm1.js: OK
compat-table/es6/Math.fround.js: OK
compat-table/es6/Math.hypot.js: OK
compat-table/es6/Math.imul.js: OK
compat-table/es6/Math.log1p.js: OK
compat-table/es6/Math.log2.js: OK
compat-table/es6/Math.log10.js: OK
compat-table/es6/Math.sign.js: OK
compat-table/es6/Math.sinh.js: OK
compat-table/es6/Math.tanh.js: OK
compat-table/es6/Math.trunc.js: OK
compat-table/es6/Number.EPSILON.js: OK
compat-table/es6/Number.MAX_SAFE_INTEGER.js: OK
compat-table/es6/Number.MIN_SAFE_INTEGER.js: OK
compat-table/es6/Number.isFinite.js: OK
compat-table/es6/Number.isInteger.js: OK
compat-table/es6/Number.isNaN.js: OK
compat-table/es6/Number.isSafeInteger.js: OK
compat-table/es6/Number.parseFloat.js: TypeError: Cannot read properties of undefined (reading 'parseFloat')
compat-table/es6/Number.parseInt.js: TypeError: Cannot read properties of undefined (reading 'parseInt')
compat-table/es6/Object.assign.js: OK
compat-table/es6/Object.getOwnPropertySymbols.js: OK
compat-table/es6/Object.is.js: OK
compat-table/es6/Object.setPrototypeOf.js: OK
compat-table/es6/Promise.Symbol.species.js: OK
compat-table/es6/Promise.all.iterable.js: OK
compat-table/es6/Promise.all.js: OK
compat-table/es6/Promise.constructor-requires-new.js: OK
compat-table/es6/Promise.js: OK
compat-table/es6/Promise.prototype-not-instance.js: OK
compat-table/es6/Promise.race.iterable.js: OK
compat-table/es6/Promise.race.js: OK
compat-table/es6/Proxy.Array.isArray.js: OK
compat-table/es6/Proxy.JSON.stringify.js: OK
compat-table/es6/Proxy.constructor-requires-new.js: OK
compat-table/es6/Proxy.handler.apply.invariants.js: OK
compat-table/es6/Proxy.handler.apply.js: OK
compat-table/es6/Proxy.handler.construct.invariants.js: OK
compat-table/es6/Proxy.handler.construct.js: OK
compat-table/es6/Proxy.handler.defineProperty.invariants.js: OK
compat-table/es6/Proxy.handler.defineProperty.js: OK
compat-table/es6/Proxy.handler.deleteProperty.invariants.js: OK
compat-table/es6/Proxy.handler.deleteProperty.js: TypeError: 'deleteProperty' on proxy: trap returned falsish for property 'foo'
compat-table/es6/Proxy.handler.getOwnPropertyDescriptor.invariants.js: OK
compat-table/es6/Proxy.handler.getOwnPropertyDescriptor.js: OK
compat-table/es6/Proxy.handler.getPrototypeOf.invariants.js: OK
compat-table/es6/Proxy.handler.getPrototypeOf.js: OK
compat-table/es6/Proxy.handler.get.instances.js: OK
compat-table/es6/Proxy.handler.get.invariants.js: OK
compat-table/es6/Proxy.handler.get.js: OK
compat-table/es6/Proxy.handler.has.instances.js: OK
compat-table/es6/Proxy.handler.has.invariants.js: OK
compat-table/es6/Proxy.handler.has.js: OK
compat-table/es6/Proxy.handler.isExtensible.invariants.js: OK
compat-table/es6/Proxy.handler.isExtensible.js: OK
compat-table/es6/Proxy.handler.ownKeys.invariants.js: OK
compat-table/es6/Proxy.handler.ownKeys.js: OK
compat-table/es6/Proxy.handler.preventExtensions.invariants.js: OK
compat-table/es6/Proxy.handler.preventExtensions.js: OK
compat-table/es6/Proxy.handler.setPrototypeOf.invariants.js: OK
compat-table/es6/Proxy.handler.setPrototypeOf.js: OK
compat-table/es6/Proxy.handler.set.instances.js: TypeError: 'set' on proxy: trap returned falsish for property 'foo'
compat-table/es6/Proxy.handler.set.invariants.js: OK
compat-table/es6/Proxy.handler.set.js: TypeError: 'set' on proxy: trap returned falsish for property 'foo'
compat-table/es6/Proxy.no-prototype.js: OK
compat-table/es6/Proxy.revocable.js: OK
compat-table/es6/Reflect.apply.js: OK
compat-table/es6/Reflect.construct.Array-subclassing.js: OK
compat-table/es6/Reflect.construct.Function-subclassing.js: Illegal call
compat-table/es6/Reflect.construct.Promise-subclassing.js: OK
compat-table/es6/Reflect.construct.RegExp-subclassing.js: OK
compat-table/es6/Reflect.construct.js: OK
compat-table/es6/Reflect.construct.new-target.js: SyntaxError: Unexpected token (11:11)
compat-table/es6/Reflect.construct.third-argument.js: OK
compat-table/es6/Reflect.defineProperty.js: OK
compat-table/es6/Reflect.deleteProperty.js: OK
compat-table/es6/Reflect.getOwnPropertyDescriptor.js: OK
compat-table/es6/Reflect.getPrototypeOf.js: OK
compat-table/es6/Reflect.get.js: OK
compat-table/es6/Reflect.has.js: OK
compat-table/es6/Reflect.isExtensible.js: OK
compat-table/es6/Reflect.ownKeys.string.js: OK
compat-table/es6/Reflect.ownKeys.symbol.js: OK
compat-table/es6/Reflect.preventExtensions.js: OK
compat-table/es6/Reflect.setPrototypeOf.js: OK
compat-table/es6/Reflect.set.js: OK
compat-table/es6/RegExp.Symbol.species.js: OK
compat-table/es6/RegExp.prototype.Symbol.match.js: OK
compat-table/es6/RegExp.prototype.Symbol.replace.js: OK
compat-table/es6/RegExp.prototype.Symbol.search.js: OK
compat-table/es6/RegExp.prototype.Symbol.split.js: OK
compat-table/es6/RegExp.prototype.flags.js: OK
